8907000000000,-0.51187,-1.38202,0.64296,0.99786,-0.01412,0.06338,0.00730,
8911580000000,-0.49796,-1.28312,0.63213,0.99565,-0.04784,0.07981,0.00427,
8911840000000,-0.46783,-1.19812,0.62639,0.99475,-0.06013,0.08274,0.00279,
8912080000000,-0.43209,-1.07933,0.61886,0.99436,-0.06326,0.08514,0.00166,
8912340000000,-0.38099,-0.89569,0.61192,0.99408,-0.06516,0.08695,0.00119,
8912580000000,-0.31942,-0.67600,0.60764,0.99436,-0.06823,0.08113,0.00217,
8912790000000,-0.25721,-0.44226,0.60306,0.99430,-0.06654,0.08329,0.00318,
8913030000000,-0.17806,-0.12998,0.59842,0.99547,-0.05244,0.07916,0.00520,
8913250000000,-0.10199,0.18328,0.59366,0.99581,-0.04485,0.07924,0.00807,
8913500000000,-0.01208,0.56087,0.59038,0.99639,-0.03433,0.07667,0.01185,
8913770000000,0.09180,0.97218,0.59105,0.99742,-0.01656,0.06779,0.01673,
8914040000000,0.18110,1.35775,0.58811,0.99766,-0.00204,0.06484,0.02167,
8914310000000,0.26798,1.70187,0.58896,0.99775,0.00791,0.06173,0.02510,
8914570000000,0.34428,1.97650,0.58902,0.99790,0.01643,0.05626,0.02762,
8914840000000,0.39677,2.20230,0.58934,0.99786,0.01505,0.05684,0.02870,
8915170000000,0.44766,2.38871,0.59048,0.99783,0.01487,0.05812,0.02697,
8915430000000,0.52683,2.41409,0.56492,0.99764,0.00968,0.06331,0.02495,
8916230000000,0.57942,2.43374,0.54823,0.99726,-0.01456,0.07096,0.01523,
8918560000000,0.57582,2.41664,0.54064,0.99700,-0.01366,0.07563,0.00961,
8918850000000,0.57965,2.38655,0.54270,0.99601,-0.00456,0.06607,-0.05989,
8919120000000,0.56799,2.34013,0.53675,0.98647,-0.01191,0.07290,-0.14633,
8919370000000,0.54749,2.30859,0.53450,0.97776,-0.01773,0.06724,-0.19784,
8919620000000,0.52538,2.30091,0.53323,0.97500,-0.02109,0.06532,-0.21131,
8919860000000,0.49556,2.30025,0.52912,0.97742,-0.02194,0.06832,-0.19875,
8920100000000,0.45522,2.32795,0.52391,0.98161,-0.02078,0.06878,-0.17684,
8920420000000,0.39858,2.40098,0.52719,0.98536,-0.01554,0.07125,-0.15412,
8921730000000,0.09719,2.83290,0.56349,0.98393,-0.01371,0.06770,-0.16466,
